nom_complet,siren,siret,tranche_effectif_salarie,activite_principale,activite_principale_naf25,ancien_siege,annee_tranche_effectif_salarie,adresse,code_postal,commune,date_creation,date_debut_activite,date_fermeture,etat_administratif,latitude,longitude
BNP PARIBAS (HELLO BANK!),662042449,66204244937784,53,64.19Z,64.19Y,False,662042449,IMMEUBLE LE PLAZZA 2 PLACE RAVESIES 33000 BORDEAUX,33000,33063,1966-07-01,2011-12-25,,A,44.865284725,-0.576182747
BNP PARIBAS,500569983,50056998300017,NN,68.20A,68.20G,False,500569983,55 AVENUE DU ROI ALBERT 1ER 06400 CANNES,06400,06029,2007-02-15,2008-01-01,,A,43.5514655891592,7.04607997491654
BNP PARIBAS REUNION,428633408,42863340800136,31,64.19Z,64.19Y,False,428633408,198 AVENUE DE LA REPUBLIQUE 97440 SAINT-ANDRE,97440,97409,1999-11-17,2008-01-01,,A,-20.96164596,55.651596191
BNP PARIBAS ANTILLES GUYANE,393095757,39309575700232,32,64.19Z,64.19Y,False,393095757,ESPACE ROSETTE 4 RUE HOMERE CLEMENT 97240 LE FRANCOIS,97240,97210,1993-11-15,2005-07-01,,A,14.614608884,-60.90451803
BNP PARIBAS PERSONAL FINANCE,542097902,54209790200242,51,64.19Z,,False,542097902,34 RUE STANISLAS 54000 NANCY,54000,54395,1954-01-01,2008-07-01,2008-07-01,F,48.6930912053547,6.180950751482
BNP PARIBAS IMMOBILIER PROMOTION (BNP PI PROMOTION),441052735,44105273500194,32,41.10A,68.12Y,False,441052735,37 AVENUE DES CHAMPS ELYSEES 75008 PARIS,75008,75108,2002-02-22,2018-07-31,,A,48.869762403,2.3061343976
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,37888879600166,12,55.90Z,55.90Y,False,378888796,SAVOIE TECHNOLAC 73370 LE BOURGET-DU-LAC,73370,73051,1990-07-05,2016-11-12,,A,45.64398671,5.8677684606
BNP PARIBAS LEASE GROUP (BPLG),632017513,63201751300169,42,65.2A,,False,632017513,2 PLACE PASTEUR 38000 GRENOBLE,38000,38185,1963-01-01,1996-12-31,1996-12-16,F,45.184321049,5.7318639245
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,32957085700758,32,68.31Z,68.31Y,False,329570857,13 RUE DE COPENHAGUE 67300 SCHILTIGHEIM,67300,67447,1984-01-01,2015-01-15,,A,48.609384637,7.7185774745
BNP PARIBAS FINANCIAL MARKETS,394895833,39489583300058,41,64.30Z,,False,394895833,160 A 162 160 BOULEVARD MACDONALD 75019 PARIS,75019,75119,1994-04-28,2021-11-01,2021-11-01,F,48.899538014,2.3775260758
